date,new_confirmed,new_untracked,no_paths
2020-01-24,1,0,1
2020-01-25,0,0,1
2020-01-26,0,0,1
2020-01-27,0,0,1
2020-01-28,0,0,1
2020-01-29,0,0,1
2020-01-30,3,0,2
2020-01-31,3,0,4
2020-02-01,0,0,4
2020-02-02,1,0,4
2020-02-03,0,0,4
2020-02-04,0,0,4
2020-02-05,2,0,4
2020-02-06,1,0,4
2020-02-07,1,0,4
2020-02-08,0,0,4
2020-02-09,0,0,4
2020-02-10,0,0,4
2020-02-11,0,0,4
2020-02-12,0,0,4
2020-02-13,0,0,4
2020-02-14,0,0,4
2020-02-15,0,0,4
2020-02-16,2,0,6
2020-02-17,0,0,6
2020-02-18,0,0,6
2020-02-19,2,0,8
2020-02-20,5,0,12
2020-02-21,2,0,14
2020-02-22,4,0,16
2020-02-23,4,0,16
2020-02-24,4,0,17
2020-02-25,16,6,25
2020-02-26,10,1,26
2020-02-27,13,2,29
2020-02-28,8,2,32
2020-02-29,5,0,32
2020-03-01,6,0,33
2020-03-02,6,2,33
2020-03-03,1,0,34
2020-03-04,5,1,34
2020-03-05,1,1,34
2020-03-06,7,0,35
2020-03-07,7,0,38
2020-03-08,10,0,41
2020-03-09,26,3,42
2020-03-10,46,0,45
2020-03-11,17,4,45
2020-03-12,12,1,46
2020-03-13,9,1,47
2020-03-14,8,1,49
2020-03-15,6,1,50
2020-03-16,13,5,51
2020-03-17,4,0,51
2020-03-18,11,2,51
2020-03-19,17,1,53
2020-03-20,17,1,55
2020-03-21,8,0,58
2020-03-22,6,0,59
2020-03-23,5,1,59
2020-03-24,14,0,62
2020-03-25,13,1,63
2020-03-26,14,0,65
2020-03-27,15,0,65
2020-03-28,22,0,67
2020-03-29,22,1,69
2020-03-30,19,0,71
2020-03-31,24,1,71
2020-04-01,16,0,71
2020-04-02,19,0,72
2020-04-03,20,2,76
2020-04-04,19,0,81
2020-04-05,11,1,81
2020-04-06,8,1,82
2020-04-07,10,2,82
2020-04-08,11,1,84
2020-04-09,5,1,85
2020-04-10,3,0,85
2020-04-11,2,0,85
2020-04-12,8,0,86
2020-04-13,3,0,86
2020-04-14,5,0,87
2020-04-15,1,0,87
